Entity,year,diabetes,obesity,calories
Afghanistan,2022,9.5717535,18.644375,2811.6965
Afghanistan,2023,9.785047,20.718634,3111.9211
Afghanistan,2024,8.4479475,17.418772,2965.4514
Afghanistan,2025,10.303038,20.033808,3004.9966
Afghanistan,2026,8.393239,18.558716,2908.7415
Afghanistan,2027,8.965818,16.551622,2766.6565
Afghanistan,2028,9.649679,17.784737,2789.9807
Afghanistan,2029,7.113143,18.000433,2978.9407
Afghanistan,2030,8.807379,23.533602,3224.2073
Afghanistan,2031,9.805053,22.807516,2681.32
Albania,2022,4.8158503,12.894637,2847.7212
Albania,2023,4.9965153,12.021862,2750.4045
Albania,2024,4.6318455,10.916619,2569.588
Albania,2025,5.2171736,10.383338,2518.6948
Albania,2026,6.1777606,10.789357,2521.5046
Albania,2027,7.4816175,11.468744,2516.7146
Albania,2028,8.790714,13.312885,2548.219
Albania,2029,10.65621,15.187558,2684.0796
Albania,2030,7.178093,9.108972,2477.7546
Albania,2031,7.121211,16.829376,2741.4229
Algeria,2022,12.440722,31.819998,2936.6301
Algeria,2023,9.125348,26.029156,2868.174
Algeria,2024,11.119245,23.794998,3105.361
Algeria,2025,6.1525993,15.921749,2869.6165
Algeria,2026,7.197479,13.845798,2471.8792
Algeria,2027,7.601509,9.456176,1981.1592
Algeria,2028,8.036501,7.919795,1867.8735
Algeria,2029,7.6155887,6.246124,2161.135
Algeria,2030,9.783363,6.9790974,2343.3643
Algeria,2031,10.630575,8.198882,2535.4292
Angola,2022,7.2427235,15.8337965,2287.7336
Angola,2023,6.450157,15.776285,2397.962
Angola,2024,5.714728,16.070024,2603.3718
Angola,2025,5.990112,13.009624,2972.3726
Angola,2026,5.3228993,6.62902,2954.6877
Angola,2027,6.4756804,10.7175255,2489.659
Angola,2028,5.8867326,13.166364,2468.1348
Angola,2029,9.908047,19.13099,2519.0688
Angola,2030,6.5054307,12.079671,2852.3186
Angola,2031,6.9128366,14.990782,2835.993
Antigua and Barbuda,2022,9.163059,19.06758,2847.0798
Antigua and Barbuda,2023,9.490181,20.328283,2979.1382
Antigua and Barbuda,2024,9.556136,19.174055,2805.1877
Antigua and Barbuda,2025,10.18351,20.945292,2857.218
Antigua and Barbuda,2026,8.9596815,21.207676,2842.4119
Antigua and Barbuda,2027,7.215418,19.838165,2833.1255
Antigua and Barbuda,2028,6.982848,18.707842,2965.8154
Antigua and Barbuda,2029,7.270689,17.822046,3015.277
Antigua and Barbuda,2030,7.9557667,16.120163,3061.116
Antigua and Barbuda,2031,7.155011,17.801218,3086.1846
Argentina,2022,8.708604,16.359148,2725.7983
Argentina,2023,7.566425,11.043238,2359.2546
Argentina,2024,9.938033,10.082689,2239.087
Argentina,2025,11.337957,8.297691,2182.1995
Argentina,2026,8.909145,5.5489683,2148.4277
Argentina,2027,7.259912,3.1072655,2110.6143
Argentina,2028,10.852807,4.6296973,2135.4102
Argentina,2029,15.072128,4.292486,2454.6274
Argentina,2030,12.970046,17.030209,3027.2402
Argentina,2031,10.351268,18.279982,2563.1912
Armenia,2022,11.005789,24.23601,2899.8367
Armenia,2023,9.75604,19.49968,2701.9268
Armenia,2024,11.799,19.328169,2790.6484
Armenia,2025,9.552238,18.070099,2790.682
Armenia,2026,9.16374,19.585892,2638.5042
Armenia,2027,9.773892,16.669062,2398.1516
Armenia,2028,7.612249,12.6906395,2510.8806
Armenia,2029,6.7513704,15.08185,2802.724
Armenia,2030,7.365214,21.129457,2942.5837
Armenia,2031,8.456684,19.057835,2987.0364
Australia,2022,9.233849,16.022095,2583.3835
Australia,2023,7.8787303,14.3454685,2421.1577
Australia,2024,9.587307,15.939152,2340.519
Australia,2025,9.537277,14.949179,2254.5232
Australia,2026,9.200773,12.395265,2217.0183
Australia,2027,8.83643,9.095959,2194.0486
Australia,2028,10.64925,6.143009,2198.0403
Australia,2029,13.761933,6.054783,2242.3018
Australia,2030,12.148792,19.057165,2944.6624
Australia,2031,7.7573357,16.955639,2903.1257
Austria,2022,6.098335,14.049869,3042.024
Austria,2023,4.938959,13.760643,2908.3079
Austria,2024,3.3085446,12.833746,2774.6155
Austria,2025,3.049771,10.624422,2566.6975
Austria,2026,4.6183395,9.926967,2387.8374
Austria,2027,5.36456,9.286753,2227.5396
Austria,2028,6.1634665,7.7447248,2028.9907
Austria,2029,7.0140324,6.8225636,1918.959
Austria,2030,6.177434,5.78199,1921.5074
Austria,2031,4.455981,11.788854,2501.8484
Azerbaijan,2022,7.849475,19.348494,2862.98
Azerbaijan,2023,7.5091953,12.7897625,2584.054
Azerbaijan,2024,8.117903,12.185179,2755.4573
Azerbaijan,2025,12.760256,17.18169,2930.5176
Azerbaijan,2026,11.114161,20.06379,2772.6973
Azerbaijan,2027,9.658304,19.482662,2543.9883
Azerbaijan,2028,6.84294,9.347414,2338.0447
Azerbaijan,2029,7.2666593,6.482514,2249.7354
Azerbaijan,2030,7.219945,9.5421715,2434.7368
Azerbaijan,2031,7.3578734,21.030748,3086.2185
Bahamas,2022,5.490549,18.506716,2932.307
Bahamas,2023,5.8425555,17.989983,2853.135
Bahamas,2024,5.916673,18.74921,2789.5264
Bahamas,2025,5.0638027,22.142572,2890.7463
Bahamas,2026,4.276065,22.51751,3039.6868
Bahamas,2027,5.560525,19.483118,2882.7485
Bahamas,2028,7.5081825,19.266363,2681.4585
Bahamas,2029,8.953722,23.621721,2862.6543
Bahamas,2030,12.266559,19.14983,3257.9658
Bahamas,2031,9.791778,17.216743,2959.4912
Bahrain,2022,7.5583687,17.634743,2607.2847
Bahrain,2023,6.021709,16.98993,2612.2217
Bahrain,2024,6.174881,22.514223,2920.886
Bahrain,2025,5.697426,20.93919,2992.2847
Bahrain,2026,5.7923145,18.92307,2924.689
Bahrain,2027,6.9911323,17.105087,3010.9666
Bahrain,2028,14.4813,33.20757,3499.8142
Bahrain,2029,11.496141,22.073633,3212.697
Bahrain,2030,13.474727,23.757818,3147.5605
Bahrain,2031,9.488839,19.737553,2986.3586
Bangladesh,2022,8.505601,17.649054,2504.8726
Bangladesh,2023,8.104264,19.05666,2774.979
Bangladesh,2024,6.595229,18.61543,2762.869
Bangladesh,2025,8.015541,21.000437,2990.247
Bangladesh,2026,8.110714,18.99948,2790.1338
Bangladesh,2027,9.885498,17.767536,2542.0566
Bangladesh,2028,10.3902445,18.265245,2604.1294
Bangladesh,2029,6.7281914,15.366042,2709.4614
Bangladesh,2030,4.8810077,6.59524,2584.1675
Bangladesh,2031,6.4920354,5.385391,2259.607
Barbados,2022,12.7514715,29.034178,3044.4062
Barbados,2023,13.384165,27.696463,3069.78
Barbados,2024,12.877654,24.651798,2980.902
Barbados,2025,12.977704,23.40399,2916.2366
Barbados,2026,11.354052,21.904945,2899.7725
Barbados,2027,12.363536,25.097425,3133.7034
Barbados,2028,13.199772,28.59714,3299.5188
Barbados,2029,13.584407,29.250343,3024.2866
Barbados,2030,12.657109,28.606573,2985.6902
Barbados,2031,9.41461,24.96145,3156.152
Belarus,2022,11.362418,17.876135,2542.9746
Belarus,2023,8.619137,12.495783,2320.8914
Belarus,2024,10.303626,12.760998,2288.4028
Belarus,2025,10.692086,15.38224,2355.5955
Belarus,2026,9.59327,14.214906,2356.3662
Belarus,2027,8.986877,10.273935,2314.073
Belarus,2028,10.361444,8.543399,2316.6619
Belarus,2029,12.801425,13.660208,2557.804
Belarus,2030,7.097823,20.63056,2944.3474
Belarus,2031,9.649537,20.731277,2843.7485
Belgium,2022,3.7007692,20.156242,3070.624
Belgium,2023,3.3222897,18.92632,2908.6296
Belgium,2024,2.9945588,18.752905,2873.4634
Belgium,2025,3.152676,16.414581,2659.2356
Belgium,2026,4.573142,14.867308,2479.9211
Belgium,2027,5.5322433,13.431761,2367.787
Belgium,2028,6.67149,11.912764,2343.4277
Belgium,2029,7.5407243,12.075166,2432.0562
Belgium,2030,6.645753,13.812679,2738.9558
Belgium,2031,4.147062,15.853782,3376.9958
Belize,2022,7.833965,20.059975,2738.08
Belize,2023,8.254384,22.017546,2812.9563
Belize,2024,7.7930093,21.814413,2818.51
Belize,2025,7.3529987,21.231798,2825.5276
Belize,2026,7.1967626,20.140581,2804.279
Belize,2027,7.0172462,21.126364,2895.9363
Belize,2028,7.167694,24.041908,3146.1204
Belize,2029,7.544095,24.531395,3244.7656
Belize,2030,7.598504,16.806015,3002.015
Belize,2031,7.619215,7.4950113,2886.7761
Benin,2022,6.96632,15.402933,2816.7883
Benin,2023,6.4388003,9.910596,2523.86
Benin,2024,8.147796,5.576998,2448.92
Benin,2025,7.535849,8.726466,2559.2961
Benin,2026,5.444118,9.383451,2732.7544
Benin,2027,5.818842,12.544291,2732.263
Benin,2028,6.7317147,17.374144,2831.58
Benin,2029,6.6450834,18.197054,2956.09
Benin,2030,5.77174,14.746462,2998.9207
Benin,2031,5.8886156,12.010889,2947.7683
Bhutan,2022,10.56607,20.007812,2848.6384
Bhutan,2023,8.254437,21.536291,3034.623
Bhutan,2024,5.419568,23.962744,3220.6702
Bhutan,2025,6.5106597,23.989048,3349.3926
Bhutan,2026,9.923824,19.383926,3059.6233
Bhutan,2027,8.201961,18.85966,2936.9634
Bhutan,2028,6.4741135,19.364973,2680.493
Bhutan,2029,3.2499173,9.813256,2236.114
Bhutan,2030,4.742042,5.8344135,2148.749
Bhutan,2031,6.2232804,9.364062,2397.4685
Bolivia,2022,10.029805,9.814001,2918.6606
Bolivia,2023,10.044043,9.418758,2817.2397
Bolivia,2024,9.744294,10.374666,2739.5293
Bolivia,2025,8.821509,12.918609,2951.455
Bolivia,2026,7.374867,17.206364,3130.0442
Bolivia,2027,6.6613183,18.540663,3105.5198
Bolivia,2028,6.814872,19.506437,3062.209
Bolivia,2029,6.7577047,19.622643,3118.3123
Bolivia,2030,6.5517006,15.259404,3012.515
Bolivia,2031,6.9250937,12.168651,2347.5474
Bosnia and Herzegovina,2022,6.839508,18.033949,2786.625
Bosnia and Herzegovina,2023,6.0297318,14.155591,2761.0933
Bosnia and Herzegovina,2024,6.2846837,11.345356,2751.9077
Bosnia and Herzegovina,2025,6.6455913,9.76641,2719.5479
Bosnia and Herzegovina,2026,7.426141,9.826916,2713.4045
Bosnia and Herzegovina,2027,8.792019,10.551646,2697.7642
Bosnia and Herzegovina,2028,9.194823,9.929725,2612.2725
Bosnia and Herzegovina,2029,8.308457,9.8915,2517.5454
Bosnia and Herzegovina,2030,7.07242,10.861533,2432.6714
Bosnia and Herzegovina,2031,7.2721057,11.653617,2676.0537
Botswana,2022,7.3165913,9.220832,2878.6943
Botswana,2023,7.1984954,9.463285,2811.2969
Botswana,2024,7.4205337,14.744807,2864.267
Botswana,2025,7.861057,15.473658,2825.2852
Botswana,2026,6.80909,8.636164,2431.1316
Botswana,2027,7.0273237,9.507288,2396.3835
Botswana,2028,6.871964,12.925701,2568.4495
Botswana,2029,8.532736,14.423923,2821.343
Botswana,2030,10.112454,15.699285,3038.787
Botswana,2031,7.078974,11.199566,2916.42
Brazil,2022,7.024966,16.240274,2954.0605
Brazil,2023,5.74115,14.384996,2841.55
Brazil,2024,5.089783,12.853251,2684.6924
Brazil,2025,5.279917,11.17749,2545.7017
Brazil,2026,5.1996603,8.610035,2412.702
Brazil,2027,5.908299,7.994603,2325.2327
Brazil,2028,7.3427305,9.894626,2363.2356
Brazil,2029,7.7020683,10.195753,2501.9146
Brazil,2030,6.729422,7.8982954,2582.4004
Brazil,2031,7.7506337,16.35488,3062.9558
Brunei,2022,8.047699,20.37153,2989.3667
Brunei,2023,7.9102745,21.60423,3114.4456
Brunei,2024,7.648792,20.621758,3109.0215
Brunei,2025,8.292919,19.828146,3072.1787
Brunei,2026,8.126971,19.762928,3057.692
Brunei,2027,7.73475,18.23269,2903.9934
Brunei,2028,7.2263184,16.360409,2614.6978
Brunei,2029,5.9708247,13.765641,2491.7546
Brunei,2030,6.6286993,18.674376,2493.4927
Brunei,2031,8.199837,19.458372,2515.9475
Bulgaria,2022,9.648902,13.944311,3077.6487
Bulgaria,2023,9.835189,12.895465,2881.4524
Bulgaria,2024,11.450442,16.612455,2933.6633
Bulgaria,2025,6.8059945,14.378261,2847.7058
Bulgaria,2026,6.871299,11.81528,2440.102
Bulgaria,2027,11.949296,17.05355,2560.6658
Bulgaria,2028,15.278896,21.576942,2815.6992
Bulgaria,2029,18.26602,25.584696,3132.233
Bulgaria,2030,12.7611265,18.908218,2868.0461
Bulgaria,2031,8.953142,16.96512,2669.25
Burkina Faso,2022,7.423849,15.327443,2716.4805
Burkina Faso,2023,7.314378,14.177476,2704.3533
Burkina Faso,2024,7.061415,10.821395,2564.3105
Burkina Faso,2025,6.7014318,5.5198193,2381.7764
Burkina Faso,2026,6.3551083,4.096219,2314.4053
Burkina Faso,2027,5.7011585,7.259713,2260.6821
Burkina Faso,2028,5.8019404,10.325542,2249.0005
Burkina Faso,2029,6.6531806,10.109846,2364.4827
Burkina Faso,2030,6.012586,7.577395,2567.4023
Burkina Faso,2031,6.1134048,12.004858,2959.0388
Burundi,2022,7.5437083,3.0786614,2222.8914
Burundi,2023,7.4097204,4.7737055,2106.5728
Burundi,2024,7.3991375,6.490866,2051.3845
Burundi,2025,6.8654923,7.9230685,2163.1133
Burundi,2026,6.369578,8.28015,2000.4141
Burundi,2027,5.2636404,11.1231365,2159.963
Burundi,2028,6.416109,15.648399,2530.2974
Burundi,2029,7.3121686,16.031118,2459.234
Burundi,2030,6.5781083,18.178324,2756.29
Burundi,2031,6.6631308,15.50005,2928.6052
Cambodia,2022,7.427404,15.356269,2432.8418
Cambodia,2023,7.057209,15.868688,2527.2085
Cambodia,2024,6.5707603,15.853366,2567.4604
Cambodia,2025,6.164294,16.821995,2720.7395
Cambodia,2026,6.0644236,17.540272,2779.365
Cambodia,2027,5.707215,16.291365,2471.3813
Cambodia,2028,4.1339455,6.906146,2110.9175
Cambodia,2029,6.278157,8.168659,2812.0342
Cambodia,2030,8.804241,10.81857,2244.6592
Cambodia,2031,9.517069,11.486217,2552.1426
Cameroon,2022,6.6150603,11.35954,2379.34
Cameroon,2023,6.5551605,10.247276,2312.1494
Cameroon,2024,6.738765,9.912819,2316.1572
Cameroon,2025,7.01374,9.289067,2365.0364
Cameroon,2026,6.837303,7.286474,2356.1982
Cameroon,2027,6.232438,5.62657,2294.3103
Cameroon,2028,5.905546,6.925605,2288.8906
Cameroon,2029,6.244035,7.7176576,2370.1057
Cameroon,2030,6.1677585,6.7861032,2490.787
Cameroon,2031,6.6516976,6.230747,2569.8962
Canada,2022,9.0013895,16.712793,2647.0627
Canada,2023,8.2274065,15.80446,2528.4355
Canada,2024,10.092289,16.999144,2434.2017
Canada,2025,9.345961,13.769767,2287.7542
Canada,2026,9.011035,10.139974,2300.5015
Canada,2027,9.540401,8.134704,2358.3547
Canada,2028,10.340365,5.4477997,2336.5625
Canada,2029,11.970977,5.45991,2256.6663
Canada,2030,12.853223,9.868535,2834.492
Canada,2031,9.036263,18.238792,2784.6846
Cape Verde,2022,5.0298185,13.219717,2333.348
Cape Verde,2023,5.972336,7.191695,2229.4885
Cape Verde,2024,5.2950287,6.8591723,2455.26
Cape Verde,2025,8.086415,10.3923855,2487.9187
Cape Verde,2026,6.09916,15.264749,2856.4468
Cape Verde,2027,5.8471127,15.664134,3050.739
Cape Verde,2028,6.482774,16.947783,3229.182
Cape Verde,2029,5.76586,16.177118,3163.188
Cape Verde,2030,4.2419534,11.305608,2817.6746
Cape Verde,2031,3.9128103,11.05397,2764.3953
Central African Republic,2022,6.5916758,11.475718,2226.3938
Central African Republic,2023,6.029024,11.345716,2340.8538
Central African Republic,2024,5.7500534,10.228648,2313.3804
Central African Republic,2025,6.0420322,9.4036665,2355.257
Central African Republic,2026,7.232708,7.8062944,2305.007
Central African Republic,2027,6.601854,5.015452,2384.048
Central African Republic,2028,6.5095553,3.944837,2390.9045
Central African Republic,2029,6.2313156,3.889907,2249.6252
Central African Republic,2030,6.9608803,5.1803055,2488.4263
Central African Republic,2031,7.188726,8.395989,2623.9668
Chad,2022,8.2238865,15.528789,2485.2146
Chad,2023,7.909442,16.645163,2722.8386
Chad,2024,6.9987493,16.093693,2809.3281
Chad,2025,7.5144334,14.150762,2893.5056
Chad,2026,8.219738,10.467569,2958.9456
Chad,2027,8.44998,7.627733,2940.6982
Chad,2028,7.5471807,10.364249,2286.9417
Chad,2029,7.2271857,12.378752,2432.5786
Chad,2030,6.518259,9.797417,2646.4355
Chad,2031,6.7125797,18.900023,3151.202
Chile,2022,7.749158,21.377817,2847.377
Chile,2023,7.895735,20.653572,2675.5156
Chile,2024,9.292056,22.428307,2665.6265
Chile,2025,8.591356,21.544605,2675.4094
Chile,2026,9.947024,24.545046,2693.1912
Chile,2027,11.185938,26.318132,2729.0488
Chile,2028,10.194341,24.810505,2754.1272
Chile,2029,8.336889,22.752747,2777.5063
Chile,2030,5.6326404,15.741912,2645.5706
Chile,2031,8.760467,13.826478,2750.0042
China,2022,7.288926,15.644869,2478.2463
China,2023,7.102257,15.566323,2461.597
China,2024,7.4534764,16.191803,2481.5144
China,2025,7.430473,18.177729,2623.1682
China,2026,6.748817,20.219347,2778.0027
China,2027,5.8127275,19.05302,2659.5781
China,2028,4.407091,13.850996,2232.904
China,2029,3.190857,4.9367704,2100.077
China,2030,6.5616093,7.536201,2187.6238
China,2031,6.583032,7.270172,2345.7793
Colombia,2022,10.8374,19.709877,3053.6514
Colombia,2023,10.715891,18.132774,2905.8298
Colombia,2024,10.56094,17.785194,2812.2593
Colombia,2025,10.001468,17.09616,2724.9346
Colombia,2026,9.100703,16.416473,2692.4639
Colombia,2027,8.535873,17.029243,2710.6335
Colombia,2028,7.9271107,19.723318,2849.5417
Colombia,2029,7.2820654,22.8251,3144.28
Colombia,2030,9.077416,20.813683,3260.0408
Colombia,2031,12.890171,24.020063,3198.324
Comoros,2022,8.956898,16.859938,2369.3638
Comoros,2023,8.996364,18.220615,2583.2625
Comoros,2024,7.9576883,17.777617,2577.1514
Comoros,2025,8.674187,19.761047,2799.16
Comoros,2026,9.404385,18.898361,2706.0432
Comoros,2027,10.25787,19.020504,2640.6997
Comoros,2028,10.263955,17.792713,2768.0146
Comoros,2029,6.867846,7.0685396,2722.6545
Comoros,2030,5.9906993,2.1858706,2310.4316
Comoros,2031,9.223504,12.349623,2639.8132
Congo,2022,6.1755905,13.959176,2564.0781
Congo,2023,5.7858424,12.418816,2707.4917
Congo,2024,5.919491,8.294517,2490.0046
Congo,2025,6.2444167,5.660713,2500.8547
Congo,2026,7.121505,3.291784,2454.8945
Congo,2027,5.801862,-1.0505543,2336.1965
Congo,2028,4.2777276,-1.6276208,2264.5142
Congo,2029,6.2301135,5.313625,2661.6785
Congo,2030,6.3050666,3.6185577,2280.3225
Congo,2031,5.9527645,7.682139,2407.2974
Costa Rica,2022,8.12213,20.67759,3087.3875
Costa Rica,2023,9.031018,22.482315,3068.6602
Costa Rica,2024,9.50376,23.33774,3073.484
Costa Rica,2025,8.910846,22.523058,3001.6174
Costa Rica,2026,9.337171,20.119884,2753.9072
Costa Rica,2027,10.8022785,20.374521,2665.5576
Costa Rica,2028,13.93166,27.232645,2899.2393
Costa Rica,2029,13.381106,30.066013,3141.0474
Costa Rica,2030,8.677652,27.717785,3155.3296
Costa Rica,2031,7.6009026,26.018005,3216.987
Cote d'Ivoire,2022,6.7019296,11.615733,2440.5662
Cote d'Ivoire,2023,6.1778874,5.732834,2213.29
Cote d'Ivoire,2024,6.793603,4.888062,2303.7805
Cote d'Ivoire,2025,6.363188,4.9985867,2371.3142
Cote d'Ivoire,2026,6.0122733,5.086406,2442.845
Cote d'Ivoire,2027,6.4113913,10.106679,2487.474
Cote d'Ivoire,2028,7.698683,18.708216,2772.4207
Cote d'Ivoire,2029,7.6339054,21.989855,3050.7449
Cote d'Ivoire,2030,6.0955915,16.18765,2939.2554
Cote d'Ivoire,2031,5.492573,8.832834,2734.3843
Croatia,2022,9.0958605,18.42363,3230.152
Croatia,2023,9.268539,18.008764,3065.2058
Croatia,2024,10.8642435,22.547878,3189.8865
Croatia,2025,9.265675,21.401,3005.7292
Croatia,2026,5.615175,17.962776,2878.6538
Croatia,2027,4.557614,20.851068,2924.1624
Croatia,2028,5.3305764,23.251995,3000.4045
Croatia,2029,7.0452666,25.640139,3239.4685
Croatia,2030,6.569355,18.483894,2964.529
Croatia,2031,6.676035,14.463396,2664.7505
Cuba,2022,8.488558,15.340502,2341.9963
Cuba,2023,7.2535987,10.550321,2158.4504
Cuba,2024,7.490453,7.1002355,2058.092
Cuba,2025,6.487626,4.8378606,2042.5677
Cuba,2026,7.0442615,4.3151574,2075.3835
Cuba,2027,8.127552,4.217944,2162.0762
Cuba,2028,9.996879,4.7744827,2242.888
Cuba,2029,11.601401,3.853171,2481.372
Cuba,2030,10.206251,9.497198,2999.3474
Cuba,2031,9.146472,14.164667,2415.8027
Cyprus,2022,8.340772,21.31541,2939.0598
Cyprus,2023,8.172433,22.195961,2938.371
Cyprus,2024,8.130598,22.873905,2931.5498
Cyprus,2025,8.031752,22.30019,2897.3396
Cyprus,2026,8.269951,22.875185,2904.5322
Cyprus,2027,8.369854,23.033306,2943.0847
Cyprus,2028,8.270889,22.556484,3001.0354
Cyprus,2029,8.566301,21.183302,3005.9355
Cyprus,2030,8.889594,20.501822,2982.9731
Cyprus,2031,9.390448,20.155306,2941.8262
Czechia,2022,11.093822,17.411728,2673.376
Czechia,2023,9.54029,13.538378,2498.505
Czechia,2024,12.268003,17.359755,2589.3613
Czechia,2025,12.720537,17.921795,2503.7737
Czechia,2026,9.166878,9.053282,2287.5269
Czechia,2027,8.410476,4.847321,2243.2505
Czechia,2028,11.528754,4.9551682,2191.8545
Czechia,2029,13.375814,6.2323546,2367.2158
Czechia,2030,7.5730147,20.563131,3045.0042
Czechia,2031,11.948125,24.892654,3024.1587
Democratic Republic of Congo,2022,7.9072447,11.680802,2404.545
Democratic Republic of Congo,2023,7.791702,12.105189,2473.0635
Democratic Republic of Congo,2024,7.461178,11.424477,2426.0388
Democratic Republic of Congo,2025,7.9636717,11.98593,2430.9023
Democratic Republic of Congo,2026,9.116681,13.760394,2471.911
